stem,n_flags,flags,unit,criminal,regulatory,tax,litigation_cr,contingent_cr,reasoning
Tata_Capital_Ltd_,2,extreme_value; large_promoter_suspect,million,316.0,9.0,119.0,812.27,788.92,"The litigation table separates matters by direction and category: I counted only the “Against” rows—criminal proceedings against the Company (283), Subsidiaries (15), Directors (8), Key Managerial Personnel (8) and Senior Management (2), totaling 316; statutory/regulatory proceedings against the Company (6) and Subsidiaries (3), totaling 9; and tax proceedings against the Company (105) and Subsidi"
Tracxn_Technologies_Ltd_,2,identical_litig_contingent; nonstandard_unit,thousand,0.0,0.0,1.0,0.317904,0.317904,"The litigation table reports against-vs-by rows separately: all By Company, By Directors, By Promoters and By Subsidiaries rows are Nil and excluded; among Against rows, criminal proceedings are Nil for the Company, Directors, Promoters and Subsidiaries (0), statutory/regulatory proceedings are Nil (0), and tax proceedings are 1 against the Company plus 1 against Directors, with the Directors’ per"
Vishal_Mega_Mart_Ltd_,2,extreme_value; large_promoter_suspect,million,16.0,279.0,49.0,45.822,60.661,"The litigation table separates matters initiated by and against each entity: I counted only the “Against” rows, namely criminal proceedings of 1 against the Company, 7 against subsidiaries and 8 against directors (16 total); statutory/regulatory proceedings of 32 against the Company and 247 against subsidiaries (279 total, excluding the “By” rows); and tax proceedings of 16 against the Company and"
Windlas_Biotech_Ltd_,2,nonstandard_unit; cases_without_amount,not_stated,1.0,5.0,11.0,,,"The litigation table reports against the Company: 1 material civil matter, nil criminal cases, 5 statutory/regulatory actions and 11 taxation proceedings; by the Company: nil civil cases and 6 criminal cases, which are excluded, while the 1 criminal case against the Directors is counted only for the criminal count. Thus, criminal cases against all listed entities are 1, regulatory actions against "
Xelpmoc_Design___Tech_Ltd_,2,nonstandard_unit; no_litigation_table,not_stated,,,,,,"The only litigation table is headed “Litigation involving our Directors” and reports four tax proceedings involving a director for ₹42,790; this is a personal director matter, not an “Against” matter involving the issuer or its subsidiaries, and there are no criminal or statutory/regulatory enforcement rows or “By” rows to count. Accordingly, criminal, regulatory, tax-against-company/subsidiaries "
Advit_Jewels_Ltd_,1,cases_without_amount,lakh,3.0,0.0,0.0,0.0,,"The litigation table separates matters filed by and against each entity: I counted only the “Against” rows, with 2 criminal proceedings against promoters and 1 against directors, while the company row shows Nil; statutory/regulatory proceedings against the company, promoters and directors are all Nil, and tax proceedings against the company are Nil (tax matters against promoters/directors were exc"
Aeroflex_Industries_Ltd_,1,no_litigation_table,million,,,,,,"The only litigation table shown is titled “Litigations against our Promoter” and reports promoter matters only: criminal Nil, direct tax Nil, indirect tax 1 matter of ₹22.63 million, regulatory actions Nil, and material civil litigations Nil; the promoter tax matter is excluded from company/subsidiary counts and amounts, and no company/subsidiary litigation summary table is provided. The separate "
Aether_Industries_Ltd_,1,nonstandard_unit,mixed,0.0,0.0,3.0,2.097,,"The litigation table separates matters by direction and category: the “Against the Company” row shows criminal Nil, tax 3, statutory/regulatory Nil and aggregate amount ₹20.97 million; “By the Company” is Nil and is excluded. The “Against the Directors” and “Against the Promoters” rows show criminal Nil, tax 2 each, statutory/regulatory Nil, but their tax proceedings and amounts are excluded from "
Afcons_Infrastructure_Ltd_,1,extreme_value,million,24.0,7.0,41.0,5005.034,1435.298,"The litigation table separates matters filed By and Against each entity. I counted only Against rows: criminal proceedings are 12 against the Company, nil against subsidiaries, 6 against Directors, 6 against Promoters and nil against Group Companies, while statutory/regulatory proceedings are nil, nil, 3, 4 and nil respectively; tax proceedings for the Company and subsidiaries are 41 and nil, excl"
Akums_Drugs___Pharmaceuticals_Ltd_,1,large_promoter_suspect,million,2.0,113.0,47.0,102.493,88.622,"The litigation table separates matters filed by and against each entity. I counted only the against rows: criminal proceedings are Nil for the Company, Directors and Promoters and 2 against Subsidiaries, while statutory/regulatory proceedings are 39 against the Company, 6 against Directors, 6 against Promoters and 62 against Subsidiaries; tax proceedings counted only for the Company and Subsidiari"
Anupam_Rasayan_India_Ltd_,1,nonstandard_unit,not_stated,0.0,0.0,0.0,,0.007905,"No litigation summary table or against-vs-by rows are provided; the narrative states that no criminal, statutory, tax or material civil litigation was outstanding involving the Company, Subsidiary, Directors and Promoters, so criminal, regulatory and tax counts are each zero, with no By matters disclosed. The contingent-liability disclosure identifies cumulative CCPS dividend outstanding of ₹79,05"
Aptus_Value_Housing_Finance_India_Ltd_,1,cases_without_amount,million,2.0,4.0,0.0,,0.555,"The litigation table separates matters by direction and category: the company filed 7 criminal cases, which are excluded as “By our Company”; 2 criminal cases are against the directors and are counted, while 4 actions were taken by statutory and regulatory authorities and are counted as regulatory actions against the relevant parties. No tax proceedings row is disclosed, so tax proceedings against"
Atlanta_Electricals_Ltd_,1,no_litigation_table,million,,,,,74.877,"The risk section contains no litigation summary table; it only refers generally to involvement in legal proceedings and to an Outstanding Litigations section not provided, so no criminal, regulatory, tax, or quantified against-company litigation rows were counted, and no “By” rows were counted. The contingent-liabilities table is stated in Rs. millions and its latest disclosed period is the nine m"
Barak_Valley_Cements_Ltd_,1,no_litigation_table,lakh,,,,,22.0225,"No litigation summary table is provided: the text explicitly states no criminal charges under IPC and securities law against the promoters, directors and Company, while civil and tax matters are mentioned without counts or quantified amounts; no 'By' proceedings are disclosed, so criminal, regulatory and tax counts and the aggregate litigation amount are null. Contingent liabilities are disclosed "
Bharat_Coking_Coal_Ltd_,1,extreme_value,million,26.0,12.0,383.0,3199.966,4188.74,"The litigation table separates matters filed by versus against each category: I counted only the Against rows—criminal proceedings of 22 against the Company, 2 against the Corporate Promoter, 1 against KMPs and 1 against SMPs, totaling 26; statutory/regulatory actions of 7 against the Company and 5 against the Corporate Promoter, totaling 12; and tax proceedings of 383 against the Company, excludi"
Blue_Jet_Healthcare_Ltd_,1,identical_litig_contingent,million,0.0,1.0,4.0,0.912,0.912,"The litigation table reports, against the Company, Nil criminal proceedings, 4 tax proceedings, Nil statutory/regulatory proceedings, and Nil material civil litigations; against the Directors, Nil criminal, Nil tax, 1 statutory/regulatory, and Nil material civil proceedings; and against the Promoters, Nil in all listed categories. I counted only the Against rows and excluded all By rows, including"
C_E_Info_systems_Ltd_,1,no_litigation_table,million,,,,,2.562,"No litigation summary table is provided in the supplied risk section. The disclosed criminal writ petition was filed by the Company and a Promoter, so it is a “By” matter and was excluded; the SEBI complaints are not stated as statutory/regulatory enforcement proceedings against the Company, and no tax proceedings are disclosed. The contingent-liabilities table states a Total of ₹25.62 million as "
Campus_Activewear_Ltd_,1,cases_without_amount,million,2.0,0.0,0.0,,0.398,"The litigation table separates matters by direction and category: against the Company (criminal Nil, tax Nil, statutory/regulatory Nil, material civil Nil), against the Directors (criminal 2, tax 1, statutory/regulatory Nil, material civil Nil), against the Promoters (criminal Nil, tax 1, statutory/regulatory Nil, material civil Nil), and against the Subsidiary (criminal Nil, tax Nil, statutory/re"
Chemplast_Sanmar_Ltd_,1,extreme_value,million,2.0,33.0,289.0,193.471,155.105,"The litigation table separates matters against and by each entity: all company, subsidiary, promoter, director and group-company “By” rows are excluded. Against rows counted are criminal proceedings of 2 against the Directors, statutory/regulatory actions of 31 against the Company plus 2 against the Subsidiary, and tax proceedings of 254 against the Company plus 35 against the Subsidiary; promoter"
Concord_Biotech_Ltd_,1,identical_litig_contingent,million,0.0,0.0,7.0,14.31,14.31,"The litigation table contains only an “Against our Company” row: criminal proceedings are Nil, tax proceedings are 7, statutory/regulatory proceedings are Nil, disciplinary actions are Nil, and material civil litigations are Nil; there are no “By” rows to count. The quantified amount against the Company is ₹143.10 million, consisting of the disclosed tax matters, and converts to ₹14.31 crore at ₹1"
Corona_Remedies_Ltd_,1,cases_without_amount,million,0.0,25.0,0.0,0.0,,"The litigation table separates proceedings by direction and category: for matters against the listed entities, criminal proceedings are Nil for the Company, Directors, Promoters, KMP and Senior Management, giving 0; statutory/regulatory actions are 6 against the Company, 7 against Directors, 6 against Promoters, 6 against KMP and Nil against Senior Management, giving 25; tax proceedings are Nil ag"
DAM_Capital_Advisors_Ltd_,1,cases_without_amount,million,0.0,1.0,0.0,,0.776,"The litigation table separates matters filed by versus against the entities: I counted only the “Against our Company” and “Against our Directors” rows, yielding criminal 0 (Nil + Nil), statutory/regulatory 1 (Nil + 1), and tax 0 (Nil + Nil); the “By our Company” row, including 5 tax proceedings and ₹7.76 million, was excluded, as were all director matters for the aggregate company/subsidiary amoun"
Dev_Accelerator_Ltd_,1,identical_litig_contingent,million,0.0,0.0,9.0,1.419,1.419,"The litigation tables show all “By our Company,” “By our Directors,” “By our Promoters,” “By our Subsidiaries,” “By our Group Companies,” “By our KMPs” and “By our SMPs” rows as Nil, so these were excluded; among the “Against” rows, the Company has 9 tax proceedings and 0 criminal or statutory/regulatory proceedings, while all other against rows are Nil. The quantified amount against the Company i"
Divgi_TorqTransfer_Systems_Ltd_,1,cases_without_amount,million,1.0,0.0,0.0,0.0,3.59,"The litigation table separates matters by direction and category: I counted the single criminal proceeding in the “Against the Directors” row; statutory/regulatory proceedings against the company, directors, promoters and subsidiaries are Nil; and tax proceedings against the company and subsidiaries are Nil. I excluded the two civil litigations and approximately ₹16.07 million shown in the “By the"
Dodla_Dairy_Ltd_,1,nonstandard_unit,mixed,8.0,0.0,10.0,30.839,16.555,"The litigation table separates matters against the Company, by the Company, against Directors, against Promoters, and against Subsidiaries: I counted only against rows—criminal cases 4 against the Company plus 2 against Directors and 2 against Promoters, statutory/regulatory actions against the Company Nil, and taxation matters against the Company 10; the Company’s criminal cases filed by it (4) w"
Euro_Pratik_Sales_Ltd_,1,cases_without_amount,million,1.0,0.0,0.0,0.0,0.0,"The litigation table separates matters against the company, subsidiaries, directors, promoters, KMP and senior management from matters by those parties. I counted only the against rows: criminal proceedings are Nil for the company, subsidiaries, directors, promoters and KMP, with 1 against Senior Management; statutory/regulatory proceedings are Nil in every against row, while the separate promoter"
Five-Star_Business_Finance_Ltd_,1,cases_without_amount,million,7.0,0.0,0.0,0.0,,"The litigation table separates matters by direction and category: I counted 6 criminal cases against the Company and 1 criminal case against the Directors; the criminal cases by the Company (47) were excluded, as were the 2 tax proceedings by the Company. Statutory/regulatory actions against Directors and Promoters are both Nil, so the regulatory count is zero; the single tax proceeding against a "
Fujiyama_Power_Systems_Ltd_,1,identical_litig_contingent,million,0.0,0.0,1.0,1.265,1.265,"The litigation table reports 24 criminal proceedings by the Company, which are excluded as filed by the Company; the Against Company row has Nil criminal proceedings, Nil statutory/regulatory proceedings, and one tax proceeding, while all Against Directors, Promoters, Key Managerial Personnel and Senior Management rows are Nil. The ROC show-cause matter and ₹1.60 million penalty are stated not to "
HMA_Agro_Industries_Ltd_,1,nonstandard_unit,mixed,3.0,8.0,5.0,17.1838,,"The litigation table separates matters filed By the Company, directors, promoters, subsidiaries and group companies from matters Against them. I counted only Against rows: criminal proceedings are 1 against the Company, 1 against Promoters and 1 against Subsidiaries, totaling 3; statutory/regulatory proceedings are 5 against the Company and 3 against Subsidiaries, totaling 8; tax proceedings count"
Hexaware_Technologies_Ltd_,1,nonstandard_unit,mixed,1.0,3.0,15.0,724.4,0.0,"The litigation table separates matters initiated by and against each entity: I counted only the “Against” rows—criminal proceedings of 1 against the Company, statutory/regulatory proceedings of 2 against the Company plus 1 against subsidiaries, and tax proceedings of 15 against the Company; all “By” rows and promoter/director personal matters were excluded from the aggregate amount. For company an"
Indegene_Ltd_,1,nonstandard_unit,mixed,5.0,0.0,9.0,16.6,0.695,"The litigation table separates matters filed by and against each entity: I counted the five criminal proceedings against Directors, the nine tax proceedings against the Company, and zero statutory/regulatory proceedings; I excluded all “By” rows and counted no criminal, regulatory, or tax proceedings against Subsidiaries. For the aggregate amount against the Company and Subsidiaries, I included ₹3"
Inox_Green_Energy_Services_Ltd_,1,large_promoter_suspect,million,115.0,21.0,12.0,316.693,236.848,"The litigation table separates matters against and by: I counted criminal proceedings against the Company (16), Promoter (26), and listed Directors (7+7+13+15+16+9), excluding all “By” rows; statutory/regulatory actions against the Company (17), Promoter (2), and Director (2) total 21, while tax proceedings counted only for the Company and subsidiaries are 12, excluding the Promoter’s 32 tax matte"
Jaro_Institute_of_Technology_Management___Research_Ltd_,1,identical_litig_contingent,million,0.0,0.0,2.0,9.725,9.725,"The litigation table separates matters filed by versus against each entity: all criminal cells in the Against rows are Nil, statutory/regulatory cells in the Against rows are Nil, and the Company has 2 tax proceedings against it; the Promoters have 4 tax proceedings, but promoter-personal tax matters are excluded from the company/group tax count and aggregate. The quantified amount against the Com"
KRN_Heat_Exchanger___Refrigeration_Ltd_,1,no_litigation_table,lakh,,,,,21.8991,"The outstanding-litigation summary is present, but its table is rendered as unreadable image/placeholder content; therefore no criminal, statutory/regulatory, tax, or quantified against/by rows can be reliably counted, and all litigation fields are null. The contingent-liabilities figure is the explicitly stated consolidated-style Total of ₹2,189.91 lakhs as of March 31, 2024, not a re-sum of the "
KSH_International_Ltd_,1,cases_without_amount,million,1.0,0.0,0.0,0.0,3.492,"The litigation table separates matters filed by and against each entity: I excluded all “By” rows, counted the “Against” criminal rows for directors (1) and none for the company, promoters, KMPs or SMs, and kept statutory/regulatory proceedings separate, with zero against rows. Tax proceedings against the company are nil; the disclosed tax proceedings against directors and promoters were excluded "
Kronox_Lab_Sciences_Ltd_,1,no_litigation_table,million,,,,,,"The provided risk section contains no litigation summary table separating Against and By matters, so no criminal, regulatory, or tax rows can be counted and no quantified litigation aggregate can be extracted. No contingent-liabilities table or stated total is disclosed, and therefore no date-specific contingent-liabilities figure is available. Customer concentration is disclosed company-wide for "
Krsnaa_Diagnostics_Ltd_,1,no_litigation_table,million,,,,,3.65,"No litigation summary table is provided in the supplied risk section, so no criminal, statutory/regulatory, or tax rows—whether Against or By—can be counted, and no quantified group litigation aggregate can be extracted. The contingent-liabilities table states a Total of ₹36.50 million as of December 31, 2020; this stated Total is used without re-summing and converts to ₹3.65 crore (₹36.50 million"
Krystal_Integrated_Services_Ltd_,1,nonstandard_unit,mixed,0.0,2.0,15.0,30.121,42.268,"The litigation summary separates matters filed by and against each entity: I excluded the Company’s 1 criminal proceeding filed by it and counted the Against Company row as 0 criminal, 2 statutory/regulatory actions and 14 tax proceedings; I counted the Against Subsidiaries row as 0 criminal, 0 regulatory and 1 tax proceeding, while excluding all promoter/director personal matters and all By rows."
LG_Electronics_India_Ltd_,1,extreme_value,million,10.0,24.0,192.0,4744.147,3004.643,"The litigation table separates matters filed by and against each party: I counted only the Against rows—criminal proceedings of 5 against the Company, 2 against Directors and 3 against KMP/SMP; statutory/regulatory actions of 21 against the Company, 2 against the Promoter and 1 against KMP/SMP; and tax claims of 192 against the Company, excluding the Promoter's personal 16 tax claims. For the quan"
Macrotech_Developers_Ltd_,1,extreme_value,million,31.0,3.0,9.0,8859.462,782.169,"The litigation tables distinguish matters against and by each entity. I counted only against rows: criminal proceedings against the Company (11), subsidiaries (1), promoters (10) and directors (9), totaling 31; statutory/regulatory actions against the Company (1), subsidiaries (1) and promoters (1), totaling 3; and direct tax proceedings against the Company (5) and subsidiaries (4), totaling 9. Fo"
Manaksia_Ltd_,1,identical_litig_contingent,million,1.0,0.0,76.0,14.095,14.095,"The risk section does not contain a litigation summary table or a separate statutory/regulatory enforcement count: it discloses one criminal case against promoter Mr. B.K. Agrawal, and separately lists tax matters against the company consisting of 48 excise, 7 service tax, 17 sales tax, 3 customs and 1 income tax case; the 3 employee-related cases are excluded from the tax count. No matters filed "
Manba_Finance_Ltd_,1,identical_litig_contingent,lakh,0.0,0.0,7.0,2.2646,2.2646,"The litigation table separates matters filed by and against each entity: I counted only the Against rows, with criminal proceedings against the company, directors and promoters all Nil (0), statutory/regulatory proceedings all Nil (0), and tax proceedings against the company of 7; the promoters' 7 tax proceedings were excluded because they are personal promoter matters, and all By rows were exclud"
Manoj_Vaibhav_Gems__N__Jewellers_Ltd_,1,no_litigation_table,million,,,,,7.876,"The litigation summary table is present but its OCR-rendered rows and values are unreadable, so no criminal, statutory/regulatory, tax, or other against-vs-by counts or quantified group litigation amount can be reliably extracted; the separate statement that there are no criminal matters at the FIR stage is not a complete litigation-table total. The contingent-liabilities figure is the explicitly "
Motisons_Jewellers_Ltd_,1,identical_litig_contingent,lakh,0.0,1.0,20.0,113.451,113.451,"The litigation table separates matters by direction and category: I counted only the “Against the Company” row for statutory/regulatory proceedings (1) and tax proceedings (20), while the criminal count is nil for the Company, directors and promoters; all “By” rows were excluded. The separate disciplinary-actions-by-SEBI/Stock-Exchanges column for promoters and the promoter criminal matter are not"
Mukka_Proteins_Ltd_,1,nonstandard_unit,mixed,3.0,2.0,3.0,5.426401,65.037,"The litigation table separates proceedings by direction and category: for matters against the Company, I counted 2 criminal, 2 tax, and 1 statutory/regulatory proceeding, and for matters against Subsidiaries, 1 criminal, 1 tax, and 1 statutory/regulatory proceeding; all “By” rows and promoter/director personal matters were excluded. The quantified aggregate amount against the Company and Subsidiar"
Muthoot_Microfin_Ltd_,1,cases_without_amount,million,11.0,3.0,0.0,,519.622,"The litigation table separates matters filed by and against each category: I counted only the Against Company, Against the Directors, and Against Promoters rows. Criminal proceedings against these rows total 2 + 1 + 8 = 11, statutory/regulatory proceedings total 2 + 0 + 1 = 3, and tax proceedings against the company are Nil; the 73 tax proceedings against Promoters were excluded, as were all By ro"
Nazara_Technologies_Ltd_,1,cases_without_amount,million,,,1.0,,,"The litigation table contains only “Litigation by our Company” and “Litigation by our Subsidiaries” civil rows (2 cases/₹82.51 million and 1 case/₹27.87 million, respectively), so these “By” rows are excluded from against-party counts and amounts; no criminal or statutory/regulatory enforcement column is disclosed. Separately, the narrative describes one GST inspection involving the Company, count"
Ola_Electric_Mobility_Ltd_,1,cases_without_amount,million,5.0,1.0,1.0,0.0,0.0,"The litigation table separates matters filed by and against each entity. I counted only the “Against” rows: criminal proceedings are 5 against directors, with nil against the Company, Promoter and Subsidiaries; statutory/regulatory proceedings are 1 against the Promoter, with nil against the Company, Directors and Subsidiaries; tax proceedings against the Company and Subsidiaries total 1 + 0 = 1, "
Omnitech_Engineering_Ltd_,1,identical_litig_contingent,million,0.0,0.0,2.0,0.204,0.204,"The litigation table separates matters filed by and against each entity: all “By” rows were excluded; against-company has Criminal Nil, Tax 2, Statutory/Regulatory Nil and ₹2.04 million, while against-subsidiaries has Nil in all categories and no amount. The against-promoters and against-directors rows were excluded from the group aggregate amount because the quantified director matter is personal"
Orkla_India_Ltd_,1,large_promoter_suspect,million,3.0,128.0,49.0,153.25,127.8,"The litigation table separates Against and By rows: I counted only Against rows, namely criminal proceedings of 1 against Directors and 2 against Key Managerial Personnel (Company, Subsidiary, Promoters, Senior Management and Group Companies were Nil), regulatory actions of 126 against the Company and 2 against Directors, and tax proceedings of 49 against the Company; Promoter tax proceedings of 1"
Paradeep_Phosphates_Ltd_,1,large_promoter_suspect,million,141.0,7.0,53.0,416.085,270.416,"The litigation table separates matters involving the Company, Promoters, Directors and Goa Facility, with criminal, statutory/regulatory and tax rows distinct from one another. For criminal proceedings against, I counted 10 Company matters after excluding 61 Company-filed complaints, 128 Promoter matters after excluding 71 ZACL-filed complaints, and 3 Director matters; regulatory counts are the 5 "
Popular_Vehicles___Services_Ltd_,1,extreme_value,million,12.0,40.0,137.0,278.067,,"The litigation table separates matters filed by versus against each category: I excluded all “By” rows and counted only against rows. Against counts are criminal 7 (Company) + 1 (Subsidiaries) + 0 (Directors) + 4 (Promoters) = 12; statutory/regulatory 23 + 7 + 1 + 9 = 40; and tax 72 (Company) + 65 (Subsidiaries) = 137, excluding promoter/director tax matters and keeping tax separate from regulator"
Powerica_Ltd_,1,nonstandard_unit,crore,0.0,4.0,15.0,44.71,40.57,"The litigation table separates matters filed by and against each category: I counted only the “Against” rows, with criminal proceedings against the company, directors, promoters, subsidiaries, KMP and senior management all Nil (0); statutory/regulatory actions against the Company (3) and Directors (1) total 4; and tax proceedings against the Company (15) plus Subsidiaries (Nil) total 15. For the a"
Quadrant_Future_Tek_Ltd_,1,cases_without_amount,million,18.0,0.0,0.0,,5.067,"The litigation table shows 9 criminal proceedings against the Directors and 9 against the Promoters; the corresponding 'By' rows are nil, and all tax and statutory/regulatory columns are nil or not applicable, so 18 criminal proceedings against listed entities are counted, with 0 regulatory and 0 tax proceedings. The criminal matters concern directors/promoters personally and the table gives the a"
Rail_Vikas_Nigam_Ltd_,1,extreme_value,million,0.0,,17.0,4933.527,3774.209,"The litigation tables distinguish matters against the Company, matters by the Company, and matters by/against Group Companies. I counted only the against rows: criminal complaints are Nil for the Company and Group Companies (0); tax proceedings are 5 against the Company plus 12 involving Group Companies (17); no separate statutory/regulatory enforcement category is disclosed, and all civil proceed"
Rategain_Travel_Technologies_Ltd_,1,identical_litig_contingent,million,0.0,2.0,2.0,68.377,68.377,"The litigation table shows separate “By” and “Against” rows: all “By the Company,” “By our Directors,” “By our Promoters,” and “By our Subsidiaries” rows were excluded. Criminal proceedings against all listed entities are Nil; statutory/regulatory proceedings against the Directors and Promoters are 1 each, while tax proceedings against the Company are 2 and those against subsidiaries are Nil; prom"
Regaal_Resources_Ltd_,1,identical_litig_contingent,million,2.0,0.0,1.0,2.329,2.329,"The litigation table separates matters filed by and against each entity: I excluded all “By our Company,” “By our Promoter,” “By our Directors,” and “By our KMPs/members of Senior Management” rows, and counted only the against rows. Criminal proceedings against comprise 0 for the Company, 1 for the Promoter, 1 for Directors and 0 for KMPs/Senior Management; statutory/regulatory proceedings against"
Sah_Polymers_Ltd_,1,nonstandard_unit,mixed,0.0,0.0,0.0,0.0,,"The litigation table separates matters filed by and against each entity. I counted only the “Against” rows: criminal proceedings are Nil for the Company, Directors, Promoters, Group Company and Subsidiary; statutory/regulatory proceedings are Nil throughout; and tax proceedings against the Company and Subsidiary are Nil, while the tax matters shown against Directors and Promoters are excluded from"
Sai_Silks__Kalamandir__Ltd_,1,no_litigation_table,million,,,,,,"No litigation summary table is provided, so there are no against-vs-by rows to count; criminal, statutory/regulatory, and tax proceedings are therefore all not disclosed. The risk section mentions a contingent liability as of March 31, 2009 arising from an income-tax notice, but provides no amount or stated Total, so no contingent-liabilities figure can be extracted. No company-wide customer conce"
Shringar_House_of_Mangalsutra_Ltd_,1,cases_without_amount,million,0.0,0.0,1.0,,,"The litigation table reports against-vs-by rows separately: all criminal cells are NIL, so criminal proceedings against all listed entities are 0; statutory/regulatory proceedings against the Company, Directors, Promoters, KMP and SMP are NIL, so regulatory actions against are 0; the tax column shows 1 against the Company and 1 against Promoters, but only the Company row is counted for the company"
