stem,model_requested,model_resolved,status,refusal,error,input_tokens,output_tokens,est_cost_usd,timestamp,issuer_name_as_stated,extraction_reasoning,source_currency_unit,criminal_cases_against_count,regulatory_actions_against_count,tax_proceedings_against_count,total_litigation_against_amount_cr,contingent_liabilities_total_cr,going_concern_status,auditor_report_status,top5_customer_revenue_pct,top10_customer_revenue_pct
Advit_Jewels_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,52140,515,0.0552,2026-07-20T16:46:36.625660+00:00,Advit Jewels Limited,"The litigation table separates matters filed by and against each entity: I counted only the “Against” rows, with 2 criminal proceedings against promoters and 1 against directors, while the company row shows Nil; statutory/regulatory proceedings against the company, promoters and directors are all Nil, and tax proceedings against the company are Nil (tax matters against promoters/directors were excluded). The aggregate quantified amount against the company and its subsidiaries is explicitly Nil; the ₹340.04 lakhs and ₹0.04 lakhs amounts relate to promoter and director matters and were excluded. No contingent-liabilities table or total is disclosed in the provided risk section, so no date or figure is available. The company-wide customer concentration for the most recent full fiscal year, Fiscal 2025, is 37.14% for the top five customers and 54.17% for the top ten, calculated as a percentage of revenue from operations. Litigation amounts are sourced in ₹ lakhs; Nil converts to ₹0.0 crore (0.0 lakhs ÷ 100).",lakh,3,0,0,0.0,,not_mentioned,not_mentioned,37.14,54.17
Aegis_Vopak_Terminals_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,47331,596,0.0509,2026-07-20T16:46:41.318251+00:00,Aegis Vopak Terminals Limited,"The litigation table separates matters by direction and category: against the company there are Nil criminal, tax and statutory/regulatory proceedings; against directors there are 4 criminal proceedings; against key managerial personnel there are 2 criminal proceedings; against promoters there are 49 tax proceedings; and against subsidiaries there are Nil criminal, 16 tax and Nil statutory/regulatory proceedings. I excluded all “By” rows, including the company’s 3 civil matters, promoters’ 1 criminal, 1 tax and 8 civil matters, and subsidiaries’ 1 civil matter; thus criminal against count is 4 + 2 = 6, regulatory against count is 0, tax against company/subsidiaries is 0 + 16 = 16, and the quantified amount against the company and subsidiaries is the subsidiaries’ stated aggregate of ₹598.37 million, or ₹59.837 crore, while the company row is Nil. The contingent-liabilities-and-commitments table states a total of ₹13,548.26 million as of December 31, 2024; this stated Total is used without re-summing and converts to ₹1,354.826 crore. Company-wide customer concentration is stated as a percentage of revenue from operations for Fiscal 2024, with top five at 30.72% and top 10 at 44.56%; all monetary tables use ₹ million, converted to crore by dividing by 10.",million,6,0,16,59.837,1354.826,not_mentioned,not_mentioned,30.72,44.56
Aequs_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,64362,579,0.0678,2026-07-20T16:46:46.006263+00:00,Aequs Limited,"The litigation table separates matters by direction and category: all “By” rows were excluded; criminal proceedings against the company, directors, KMP, senior management, promoters and subsidiaries are all Nil, statutory/regulatory actions against all listed entities are Nil, and tax proceedings against the company (3) plus subsidiaries (5) total 8, excluding the directors’ personal tax matter. For the group-only quantified aggregate, I used the stated amounts against the Company of ₹805.34 million and against Subsidiaries of ₹28.55 million, totaling ₹833.89 million, converted from million to ₹83.389 crore; promoter/director and “By” amounts were excluded. The contingent-liabilities figure is the stated consolidated Total of ₹934.32 million as of September 30, 2025, converted to ₹93.432 crore, rather than a re-sum. The company-wide customer concentration for the latest full fiscal year, Financial Year 2025, is 73.17% for the top five and 88.57% for the top ten, measured as a percentage of revenue from operations; the Aerospace Segment concentration was not used because it is segment-specific. The litigation and contingent-liability tables use ₹ million, and the conversion applied is ₹1 million = ₹0.1 crore.",million,0,0,8,83.389,93.432,not_mentioned,caro_or_emphasis_of_matter_only,73.17,88.57
Aeroflex_Industries_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,34747,597,0.0383,2026-07-20T16:46:51.132652+00:00,Aeroflex Industries Limited,"The only litigation table shown is titled “Litigations against our Promoter” and reports promoter matters only: criminal Nil, direct tax Nil, indirect tax 1 matter of ₹22.63 million, regulatory actions Nil, and material civil litigations Nil; the promoter tax matter is excluded from company/subsidiary counts and amounts, and no company/subsidiary litigation summary table is provided. The separate SEBI adjudication proceeding against the Company is described narratively as disposed, but no litigation-summary table count is provided for it, so the table-based litigation fields are not populated. No contingent-liabilities table or stated total, date, going-concern uncertainty, or statutory auditor report status appears in the supplied risk section. The top-five customer concentration is company-wide and is 24.10% of revenue from operations for the full fiscal year ended March 31, 2023; no top-ten customer percentage is disclosed. Monetary litigation tables use ₹ million; no litigation amount is included for the issuer/group, so no conversion to crore is applied (₹1 million = ₹0.1 crore).",million,,,,,,not_mentioned,not_mentioned,24.1,
Aether_Industries_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,39494,671,0.0435,2026-07-20T16:47:04.726022+00:00,Aether Industries Limited,"The litigation table separates matters by direction and category: the “Against the Company” row shows criminal Nil, tax 3, statutory/regulatory Nil and aggregate amount ₹20.97 million; “By the Company” is Nil and is excluded. The “Against the Directors” and “Against the Promoters” rows show criminal Nil, tax 2 each, statutory/regulatory Nil, but their tax proceedings and amounts are excluded from the company-and-subsidiaries fields because they are personal matters; no subsidiary row is disclosed. The contingent-liabilities table is dated December 31, 2021 and does not state an overall contingent-liabilities total; although it contains “Total Margin for above items” rows, no aggregate Total for all contingent liabilities is provided, and the raw-material FLC is denominated in US$ million while the other entries are in ₹ million. The only quantified company litigation amount, ₹20.97 million, converts to ₹2.097 crore (₹20.97 million ÷ 10); the top-customer disclosure provides only top 20 company-wide percentages, not top 5 or top 10, and uses revenue from operations for Fiscal 2021.",mixed,0,0,3,2.097,,not_mentioned,not_mentioned,,
Afcons_Infrastructure_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,61037,856,0.0662,2026-07-20T16:47:11.535394+00:00,Afcons Infrastructure Limited,"The litigation table separates matters filed By and Against each entity. I counted only Against rows: criminal proceedings are 12 against the Company, nil against subsidiaries, 6 against Directors, 6 against Promoters and nil against Group Companies, while statutory/regulatory proceedings are nil, nil, 3, 4 and nil respectively; tax proceedings for the Company and subsidiaries are 41 and nil, excluding promoter/director tax matters and all By rows. The quantified aggregate amount against the Company is ₹50,050.34 million and against subsidiaries is nil, giving ₹50,050.34 million, or ₹5,005.034 crore, for the consolidated group; the source unit is million. The contingent-liabilities table is as at June 30, 2024 and has no stated Total row, so the quantified line items were summed to ₹14,352.98 million, or ₹1,435.298 crore, excluding no listed quantified items; amounts described as not ascertainable are not included. The only concentration percentages for customers concern Order Book, not company-wide revenue from operations or total income, so top-five and top-ten customer revenue percentages are not disclosed; the source tables use ₹ million, converted to crore by dividing by 100.",million,24,7,41,5005.034,1435.298,group_or_subsidiary_only,caro_or_emphasis_of_matter_only,,
Affle__India__Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,28776,552,0.0321,2026-07-20T16:47:15.630613+00:00,Affle (India) Limited,"The litigation tables contain only “against” tables for the Company, corporate Promoter, individual Promoter and certain Directors; there are no “By” rows. I counted criminal matters against the individual Promoter (2) and Directors (5), statutory/regulatory actions against the Company (1), and tax matters against the Company only (3 direct tax + 1 indirect tax); the Directors’ tax matters and the corporate Promoter’s counter-claim were excluded from the company/subsidiary aggregate, with the counter-claim noted as arising from a proceeding initiated by the Promoter. The quantified outstanding amount against the Company is ₹6.5 million + ₹2.6 million + ₹17.50 million = ₹26.6 million, converted to ₹2.66 crore; no contingent-liabilities table or total is disclosed. The customer concentration disclosure is company-wide for Fiscal 2019 on a consolidated basis, with top 10 customers contributing 64.5% of revenue from contracts with customers; no top-five percentage is given. The source tables use ₹ million, and the conversion applied is ₹1 million = ₹0.1 crore.",million,7,1,4,2.66,,not_mentioned,caro_or_emphasis_of_matter_only,,64.5
Ajax_Engineering_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,44166,673,0.0482,2026-07-20T16:47:21.190513+00:00,Ajax Engineering Limited,"The litigation table separates matters by direction and category: for the company, “By our Company” has 1 criminal matter and ₹0.87 million, while “Against our Company” has Nil criminal, 15 tax and Nil statutory/regulatory matters with ₹16.73 million; director and promoter against-rows are all Nil, and all “By” rows are excluded. Thus, criminal against-count is 0, regulatory against-count is 0, tax against-count is 15, and the quantified company-group amount is ₹16.73 million; the footnoted ₹100.04 million customs payment under protest is excluded from the table’s tax proceedings and is not added. The contingent-liabilities table is as of September 30, 2024 and is stated in ₹ million, but it has no disclosed Total row, so no total is extracted rather than summing line items. The company-wide concentration disclosed is the ten largest dealers’ 50.51% of revenue from operations for Financial Year 2024; no company-wide top-five percentage is given (the 85.13% SLCM figure is product concentration, not customer concentration). The source unit is million; ₹16.73 million converts to ₹1.673 crore using 1 crore = ₹10 million.",million,0,0,15,1.673,,not_mentioned,caro_or_emphasis_of_matter_only,,50.51
Akme_Fintrade__India__Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,39829,884,0.0451,2026-07-20T16:47:28.075500+00:00,Akme Fintrade (India) Limited,"The litigation table separates matters by direction and category: I counted only the Against rows, including 1 criminal proceeding against the promoters and 3 tax proceedings against the Company; the Company’s statutory/regulatory Against cell is nil, and I excluded all By Company, By Promoters and By Group Companies rows. The quantified aggregate amount for matters against the Company is explicitly stated as ₹657.07 lakhs; no subsidiaries are listed, so this is used as the company/group amount, converted to ₹6.5707 crore, while promoter/director personal matters and By matters are excluded. No total contingent-liabilities row is disclosed; the ₹1,203.57 lakhs corporate-guarantee figure as of December 31, 2023 is described only as forming part of contingent liabilities and therefore is not used as the total. The only disclosed percentages concern Rajasthan loan-book and interest-income concentration, not top customers; there is no company-wide top-five or top-ten customer percentage for a full fiscal year, and no denominator applicable to customer concentration. The source litigation and contingent-liability-related tables use ₹ in lakhs; ₹657.07 lakhs ÷ 100 = ₹6.5707 crore.",lakh,1,0,3,6.5707,,not_mentioned,not_mentioned,,
Akums_Drugs___Pharmaceuticals_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,59830,742,0.0643,2026-07-20T16:47:34.602726+00:00,Akums,"The litigation table separates matters filed by and against each entity. I counted only the against rows: criminal proceedings are Nil for the Company, Directors and Promoters and 2 against Subsidiaries, while statutory/regulatory proceedings are 39 against the Company, 6 against Directors, 6 against Promoters and 62 against Subsidiaries; tax proceedings counted only for the Company and Subsidiaries are 16 and 31 respectively, excluding the Directors’ 2. The quantified aggregate amount against the Company and Subsidiaries is the stated ₹169.56 million plus ₹855.37 million, totaling ₹1,024.93 million, converted at ₹10 million per crore to ₹102.493 crore; all “By” rows were excluded. Contingent liabilities use the stated consolidated Total of ₹886.22 million as of March 31, 2024, converted to ₹88.622 crore, rather than summing line items. The only top-customer concentration disclosed is for the CDMO business segment—39.31% for the top ten clients in Financial Year 2024, measured against CDMO revenue from operations—so company-wide top-five and top-ten fields are null. Source monetary tables use ₹ millions, and the conversion applied is million ÷ 10 = crore.",million,2,113,47,102.493,88.622,not_mentioned,not_mentioned,,
All_Time_Plastics_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,63019,726,0.0674,2026-07-20T16:47:40.592850+00:00,All Time Plastics Limited,"The litigation table separates matters filed by and against each category: I excluded all “By our Company,” “By our Directors,” “By our Promoters,” “By our Subsidiaries,” “By our KMPs” and “By our SMPs” rows. Among the “Against” rows, the company has 1 criminal and 4 tax proceedings, with nil statutory/regulatory proceedings; directors, promoters, subsidiaries, KMPs and SMPs have nil against them, so regulatory is 0 and tax is 4 for the company and subsidiaries. The quantified aggregate amount against the company is ₹36.55 million, while the subsidiaries’ amount is nil; therefore the group litigation amount is ₹36.55 million, converted to ₹3.655 crore, and the contingent-liabilities figure is the stated total of ₹6.00 million as at March 31, 2025, converted to ₹0.60 crore. The customer concentration figures are company-wide and use revenue from operations for full Fiscal 2025: top five is the stated top-four 78.42% plus the fifth customer’s 2.85% = 81.27%, and top ten is the sum of the stated top-four total and the remaining six percentages = 89.55%. The source tables use ₹ million; conversion to crore is by dividing by 10 (₹10 million = ₹1 crore).",million,1,0,4,3.655,0.6,not_mentioned,caro_or_emphasis_of_matter_only,81.27,89.55
Allied_Blenders___Distillers_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,57481,583,0.061,2026-07-20T16:47:45.523493+00:00,Allied Blenders and Distillers Limited,"The litigation table separates matters filed by versus against each entity: I counted only the Against rows—criminal proceedings of 1 against the Company, 2 against Directors, 1 against Promoters and nil against Subsidiaries; statutory/regulatory proceedings of 42, 2, 1 and nil respectively; and tax proceedings of 70 against the Company plus 21 against Subsidiaries. For the group litigation amount, I used the stated aggregate amounts in the Against rows for the Company and Subsidiaries only: ₹1,297.31 million + ₹0.52 million = ₹1,297.83 million, excluding all By rows and personal promoter/director matters; this converts to ₹129.783 crore. The contingent-liabilities figure is the explicitly stated consolidated Total of ₹1,555.44 million as at August 31, 2023, converted to ₹155.544 crore; the Provident Fund item marked Not ascertainable was not separately added. The concentration disclosures provide only top-two customer percentages, not top-five or top-ten company-wide percentages; the disclosed percentages use revenue from contracts with customer—sale of goods (IMFL), and the latest full fiscal period is Fiscal 2023. Litigation and contingent-liability tables use ₹ million, converted to crore by dividing by 10 (1 crore = ₹10 million).",million,4,45,91,129.783,155.544,not_mentioned,caro_or_emphasis_of_matter_only,,
Amagi_Media_Labs_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,48949,724,0.0533,2026-07-20T16:47:51.453306+00:00,Amagi Media Labs Limited,"The litigation table separates matters filed by and against each category: all “By” rows are excluded; criminal proceedings against the listed entities are Nil except 2 against KMP/SMP, statutory or regulatory proceedings against the Company, subsidiaries, directors, KMP/SMP and promoters are all Nil, and tax proceedings against the Company are 12 with subsidiaries Nil. The quantified aggregate against the Company is ₹1,175.07 million; subsidiaries have no quantified amount, so the group amount is ₹1,175.07 million = ₹117.507 crore, excluding promoter, director, KMP/SMP and “By” matters. Contingent liabilities are disclosed in the September 30, 2025 table in ₹ millions without a stated Total row; summing bank guarantee ₹0.72 million, income-tax dispute ₹592.48 million and GST dispute ₹104.44 million gives ₹697.64 million = ₹69.764 crore. The company-wide top-five and top-ten customer concentration figures are for Financial Year 2025 and are percentages of revenue from operations: 23.65% and 33.74%, respectively; the interim figures are not used because a full fiscal year is available. The source currency unit is ₹ million, converted to crore by dividing by 10.",million,2,0,12,117.507,69.764,not_mentioned,caro_or_emphasis_of_matter_only,23.65,33.74
Amanta_Healthcare_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,57267,595,0.0608,2026-07-20T16:47:56.481645+00:00,GPT Healthcare Limited,"The litigation table separates matters filed by versus against each entity: I counted only the Against Company, Against Directors and Against Promoters criminal rows (1+1+1=3), while the Against Subsidiaries criminal row is Nil; all statutory/regulatory rows are Nil, and tax proceedings against the Company and Subsidiaries are Nil. For the aggregate amount against the Company and Subsidiaries, I used the explicitly stated Against Company total of ₹292.31 million and the Nil Against Subsidiaries amount, excluding all By rows and promoter/director personal matters; this converts to ₹29.231 crore. The contingent-liabilities figure is the stated Total of ₹17.63 million as of September 30, 2023, converted to ₹1.763 crore, rather than a re-sum. The only concentration percentage disclosed is approximately 70% of revenue from operations from West Bengal hospitals, which is geographic/segment concentration rather than a company-wide top-customer percentage; no top-5 or top-10 customer concentration is disclosed for a full fiscal year. The source monetary tables use ₹ million; conversion is million ÷ 10 = crore.",million,3,0,0,29.231,1.763,no_uncertainty_stated,caro_or_emphasis_of_matter_only,,
Ami_Organics_Ltd_,gpt-5.6-luna,gpt-5.6-luna,ok,,,37708,493,0.0407,2026-07-20T16:48:00.826694+00:00,Ami Organics Limited,"The risk section contains a tax-proceedings table with proceedings against the Company (8: 7 direct-tax and 1 indirect-tax); no criminal or statutory/regulatory enforcement table is disclosed, and no “By” rows are present to count. The quantified aggregate amount against the Company is ₹16.24 million (₹1.624 crore), comprising ₹12.76 million direct tax and ₹3.48 million indirect tax; promoter and director matters are excluded. Contingent liabilities are stated in the table as ₹3.48 million for disputed tax liabilities, as on the date of the RHP, with additional income-tax matters described as not quantifiable; this converts to ₹0.348 crore. The company-wide top-five customer concentration is 44.43% of revenue from operations for the full Fiscal 2021; no company-wide top-ten figure is disclosed. Monetary tables use ₹ million, converted to crore by dividing by 10.",million,,,8,1.624,0.348,not_mentioned,not_mentioned,44.43,
